,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,centroid_geometry,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
36,CY00,Κύπρος,Kýpros,24430.434782608696,"POLYGON ((6342668.881999999 1629618.4980999995, 6342926.802200001 1634133.0111999996, 6355195.225400001 1630403.7488000002, 6361329.565400001 1637425.9455999993, 6364266.4659 1648627.0621000007, 6372301.799900001 1653411.8353000004, 6389136.7754999995 1652350.0633000005, 6394371.9408 1657608.5248000007, 6395130.229699999 1668838.1345000006, 6390150.352299999 1682771.8466999996, 6397359.2829 1681049.2951999996, 6440896.7511 1690577.7697, 6454883.4759 1698133.917199999, 6463635.5371 1707203.2235000003, 6470438.4120000005 1709365.9837999996, 6480682.9364 1716720.7819999997, 6491665.8421 1727242.8872999996, 6494000.962099999 1733947.296599999, 6503401.993100001 1738981.9948999994, 6507208.5660999995 1745512.4696999993, 6522423.109999999 1757697.7875999995, 6524943.458000001 1753897.0940000005, 6517603.440199999 1748335.4510999992, 6514293.9549 1740614.8143000007, 6505735.9669 1728648.2763999999, 6497577.854900001 1721158.6362999994, 6491385.578199999 1706285.4462000001, 6483077.263599999 1702725.8991, 6479926.9166 1694312.0798000004, 6483520.894200001 1684324.5206000004, 6499254.3719999995 1673071.8505000006, 6485030.827 1659772.3342000004, 6476822.885399999 1661292.1292000003, 6469965.5418 1658923.9419, 6466336.705399999 1652743.2287000008, 6466276.205700001 1639102.1311000008, 6439362.575300001 1617825.757099999, 6429540.824999999 1615533.0969999991, 6419240.607100001 1604828.0481000002, 6420791.9826 1596973.914999999, 6415015.832800001 1594476.1734999996, 6406804.027899999 1603223.4363000002, 6392576.817299999 1595919.7591999993, 6372397.1132 1596974.4178, 6362865.6028 1601231.3423999995, 6359425.831599999 1608432.6581999995, 6351284.5722 1613396.1926000006, 6348392.6468 1623251.0960000008, 6342668.881999999 1629618.4980999995))",6426393.675547924,1653575.740850206,POINT (6426393.675547924 1653575.740850206),-0.051324572995655515,Significant,0.001,4
89,EL30,Aττική,Attiki,27281.81818181818,"MULTIPOLYGON (((5571753.936000001 1641409.3346999995, 5563902.912900001 1636920.4132000003, 5557256.499500001 1642900.0239000004, 5565004.199999999 1647828.1242999993, 5571753.936000001 1641409.3346999995)), ((5562296.1227 1710509.8904, 5553801.568299999 1707339.0887000002, 5547856.4933 1713794.3465, 5557103.9943 1717561.4229000006, 5562296.1227 1710509.8904)), ((5532122.3838 1750830.4309, 5524357.137399999 1759294.6012999993, 5506508.868000001 1753759.7559999991, 5508020.453400001 1760301.4700000007, 5514687.426999999 1763315.448999999, 5516523.0362 1766108.5681999996, 5481334.7018 1752736.3058000002, 5474074.188100001 1763692.4251000006, 5480903.4058 1772259.489600001, 5472996.0616999995 1775580.6459999997, 5491266.6457 1788815.2690999992, 5507973.929400001 1778859.5315000005, 5516325.159399999 1788084.9381000008, 5518880.299900001 1803023.7859000005, 5551741.133400001 1792576.7035000008, 5561671.063100001 1740662.0594999995, 5555221.625600001 1734848.5887000002, 5532122.3838 1750830.4309)), ((5526811.093800001 1646966.7206999995, 5531959.989800001 1636299.1218999997, 5523464.906199999 1637063.8028999995, 5519154.68 1646115.8901000004, 5526811.093800001 1646966.7206999995)), ((5520800.5633000005 1696152.2873, 5523898.5648 1685806.7058000006, 5511880.124299999 1688263.4080999997, 5514099.2453000005 1694930.6838000007, 5520800.5633000005 1696152.2873)), ((5516358.820800001 1729444.1437, 5512359.1438 1726273.7031999994, 5504616.5733 1735893.1936000008, 5516094.162799999 1738668.3138999995, 5516358.820800001 1729444.1437)), ((5511953.2491999995 1697630.8752999995, 5510867.3905 1702864.2740000002, 5490059.9717999995 1707359.4217000008, 5489168.365900001 1714338.8718999997, 5499883.2314 1711641.4782999996, 5498997.1709 1718724.071799999, 5506002.990599999 1721010.6519000009, 5506762.6577 1709790.4103999995, 5515133.179199999 1703703.9493000004, 5511953.2491999995 1697630.8752999995)), ((5499317.637499999 1561826.9165000003, 5499979.827199999 1552371.5974000003, 5490379.4637 1553603.9984000009, 5485454.262499999 1561054.0209999997, 5483166.6916000005 1570600.3816999998, 5487374.7455 1578134.4025999997, 5493103.0351 1571016.8161999993, 5501840.1293 1565636.8685999997, 5499317.637499999 1561826.9165000003)), ((5495398.871300001 1679322.614, 5493177.3747000005 1671472.2522999998, 5487302.3749 1670587.1883000005, 5484646.8895 1675925.3968000002, 5486645.212400001 1681052.606899999, 5495398.871300001 1679322.614)))",5520665.998032419,1742711.8922719571,POINT (5520665.998032419 1742711.8922719571),-0.1558005313909217,Significant,0.014,4
155,HR05,Grad Zagreb,Grad Zagreb,28652.17391304348,"POLYGON ((4783286.1547 2550595.059800001, 4798025.4377 2559283.544399999, 4803837.6106 2541723.5337000005, 4780696.5539 2520469.963300001, 4772260.252800001 2528321.7783000004, 4776770.530300001 2533729.1371, 4774780.7523 2542544.7621, 4783286.1547 2550595.059800001))",4788004.257528263,2540107.715251019,POINT (4788004.257528263 2540107.715251019),-0.1654051648923466,Significant,0.034,4
157,HU11,Budapest,Budapest,35290.90909090909,"POLYGON ((4991721.7037 2752702.183700001, 4991217.33 2758209.8499, 5003502.8607 2764402.5264999997, 5011593.762 2756920.897, 5021435.9399 2755543.7639000006, 5023377.1653 2749858.6132999994, 5016469.9671 2744666.6439999994, 5010192.2677 2735269.2946000006, 5004982.0177 2740889.6889999993, 4997500.174699999 2737601.1547999997, 4996312.7642 2747122.2655999996, 4991721.7037 2752702.183700001))",5006074.277476184,2750470.8764055884,POINT (5006074.277476184 2750470.8764055884),-0.43016366147403845,Significant,0.008,4
189,LT01,Sostinės regionas,Sostinės regionas,25856.521739130436,"POLYGON ((5375053.1280000005 3695401.1439999994, 5372646.2269 3684445.8260999992, 5351543.682399999 3676059.5109, 5347163.377900001 3659448.6909999996, 5330639.8024 3648467.6889999993, 5324776.482799999 3632399.7698999997, 5329932.399800001 3608257.3188000005, 5324673.473300001 3581091.105799999, 5339335.1526 3570981.9432999995, 5341515.552300001 3564159.3362000007, 5328809.171700001 3559328.7698999997, 5325449.3915 3570718.8477999996, 5320835.2893 3573373.7248, 5305897.6313000005 3564871.5207, 5298065.4461 3551449.3706, 5282724.105799999 3548285.2378000002, 5280131.025 3557733.6630000006, 5283369.6548999995 3578860.9441, 5255800.5722 3575328.8542, 5247189.7795 3584760.233100001, 5248544.6778 3603683.1477000006, 5261721.9781 3627711.569, 5247602.7831999995 3636077.6592999995, 5248169.154100001 3644825.9847, 5229784.396 3665824.1587000005, 5228767.4088 3678703.0595999993, 5239000.751800001 3688264.9243, 5239781.7501 3695431.5241, 5253867.0044 3681654.0538, 5280466.741900001 3668547.742900001, 5283310.5546 3656645.0941000003, 5292953.5063000005 3652586.3803000003, 5315766.4418 3659568.9176000003, 5311171.763699999 3677812.225400001, 5314465.947699999 3682258.8562000003, 5355222.576300001 3686487.0834, 5375053.1280000005 3695401.1439999994))",5292072.6978166085,3626182.8417251306,POINT (5292072.6978166085 3626182.8417251306),-0.12040414452312934,Significant,0.005,4
229,PL91,Warszawski stołeczny,Warszawski stołeczny,35495.65217391304,"POLYGON ((5071981.877599999 3329177.8824000005, 5093801.9311999995 3323870.064099999, 5103753.510500001 3334154.6294, 5112727.3266 3327170.412900001, 5121585.5264 3306428.1950000003, 5131132.021299999 3300657.646400001, 5134587.2181 3286818.6779999994, 5130797.260399999 3274769.184699999, 5111043.5823 3276019.4047, 5093946.8235 3256241.1163, 5091029.424000001 3258588.0281000007, 5048488.6894000005 3259234.7851, 5025941.524900001 3288351.9952000007, 5027434.7677 3304014.5055, 5046881.2149 3334457.3347999994, 5059087.045600001 3327806.265900001, 5071981.877599999 3329177.8824000005))",5077682.561554879,3294918.959902094,POINT (5077682.561554879 3294918.959902094),-0.7005388504377968,Significant,0.001,4
243,RO32,Bucureşti-Ilfov,Bucureşti-Ilfov,31817.391304347828,"POLYGON ((5609779.0754 2494714.0913999993, 5599328.6335 2488340.0281000007, 5582293.7863 2493606.9650999997, 5575967.5559 2514837.149700001, 5577969.187999999 2535030.0326000005, 5602218.0033 2547044.1008, 5616721.293 2522105.0481000002, 5609779.0754 2494714.0913999993))",5595717.363305016,2516740.4901020583,POINT (5595717.363305016 2516740.4901020583),-0.7161507889552916,Significant,0.001,4
264,TR10,İstanbul,İstanbul,26015.78947368421,"MULTIPOLYGON (((5940443.759199999 2176264.6207, 5912596.413000001 2187568.5425000004, 5915452.158399999 2218419.4799000006, 5974176.278899999 2223871.1973, 5968169.509500001 2208614.3387, 5944136.0492 2195631.3468999993, 5940443.759199999 2176264.6207)), ((5824749.2566 2171034.837200001, 5820372.2151999995 2187202.8837, 5826981.3456999995 2233956.2378000002, 5897416.014599999 2216857.8703000005, 5893217.1712 2184805.1677, 5880345.236400001 2179239.240700001, 5843014.929400001 2181522.1396999992, 5824749.2566 2171034.837200001)))",5883263.914390182,2203198.551759033,POINT (5883263.914390182 2203198.551759033),-0.1428013835253154,Significant,0.001,4
