,Model,RMSE,Pseudo R-squared
0,ML_Lag,5174.915916494933,0.7019471259217904
1,ML_Error,5637.14621500722,0.6476644146706075
2,GM_Error,5869.54746761655,0.6241181932458141
3,GM_Error_Het,5548.755101968771,0.6579564430906176
4,GM_Lag,5170.6056953442485,0.7024277253242703
5,GM_Combo,5250.528756803551,0.6942110517525322
6,GM_Combo_Het,5197.677760229988,0.6997954104855141
