,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,centroid_geometry,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
91,EL42,Νότιο Αιγαίο,Notio Aigaio,21891.304347826088,"MULTIPOLYGON (((5933660.592499999 1621535.4982999992, 5921979.472200001 1614681.0748999994, 5915462.865599999 1638680.3995999992, 5925404.726399999 1661186.5862000007, 5946561.445599999 1677672.0735999998, 5953647.2643 1676609.1985999998, 5947439.2075 1638260.2508000005, 5933660.592499999 1621535.4982999992)), ((5920640.956800001 1690173.3412999995, 5912694.1052 1684467.7729000002, 5906374.5031 1693841.6886, 5911263.959100001 1696065.9905999992, 5920640.956800001 1690173.3412999995)), ((5883006.438999999 1553358.0879999995, 5879707.9673999995 1548147.2857000008, 5873254.0561999995 1549091.6651000008, 5875883.9955 1554129.3730999995, 5873815.2634 1560995.0415000003, 5868309.8654 1565616.4010000005, 5872451.249 1571898.7336999997, 5874530.923699999 1581980.4102999996, 5873145.176200001 1590086.2512999997, 5877107.3533 1591363.8932000007, 5879420.921399999 1583260.6893000007, 5876029.635600001 1569070.2842999995, 5883613.9869 1562861.6029000003, 5883006.438999999 1553358.0879999995)), ((5880041.3848 1664295.4240000006, 5873392.5513 1657010.2555, 5869254.5448 1659417.9002, 5868531.887399999 1664781.4009000007, 5876390.9266 1669055.9576999992, 5880041.3848 1664295.4240000006)), ((5851958.667199999 1698496.2298000008, 5846751.4991999995 1691361.196799999, 5837995.617699999 1692725.1352999993, 5842337.8638 1701243.1876999997, 5859405.985200001 1712928.9871999994, 5867396.352700001 1708257.6491999999, 5851958.667199999 1698496.2298000008)), ((5865270.9964000005 1543564.9309999999, 5857578.704399999 1532445.0809000004, 5852308.6413 1534348.7217999995, 5857646.988299999 1545044.0588000007, 5865270.9964000005 1543564.9309999999)), ((5862443.002599999 1674630.5954, 5860350.630799999 1670711.6020999998, 5851258.2173999995 1671153.9878000002, 5850874.1822 1677219.7904000003, 5858252.359300001 1680282.3984999992, 5862443.002599999 1674630.5954)), ((5839244.0754 1684637.4646000005, 5836485.8025 1679475.7024000008, 5830359.414899999 1683151.4112999998, 5829825.9364 1690204.2994999997, 5834801.6928 1693077.9388999995, 5839244.0754 1684637.4646000005)), ((5836917.797599999 1712180.8170999996, 5829156.7948 1706611.0157999992, 5824821.052300001 1711427.0589000005, 5830946.3092 1718911.1736999992, 5837645.7379 1717231.9276, 5836917.797599999 1712180.8170999996)), ((5827120.466600001 1765322.6527999993, 5821112.865599999 1760405.1022999994, 5812528.902000001 1766453.7471999992, 5820422.437000001 1771318.4822000004, 5827120.466600001 1765322.6527999993)), ((5808018.1938000005 1738195.726399999, 5799855.703600001 1733714.2689999994, 5801422.0976 1746137.6465000007, 5810136.4067 1745422.7565000001, 5808018.1938000005 1738195.726399999)), ((5796012.1186 1661829.8222000003, 5788742.1076 1655626.0258000009, 5789019.279999999 1649709.5743000004, 5779523.820599999 1650106.9065000005, 5775530.5307 1656686.5267999992, 5787490.880899999 1659034.4551999997, 5784656.591700001 1666758.3641999997, 5789622.911900001 1668595.1308999993, 5796012.1186 1661829.8222000003)), ((5753917.3508 1689641.195699999, 5747718.0962000005 1680494.6684000008, 5742918.700999999 1681580.6049000006, 5741552.767000001 1674167.1141, 5734023.6819 1667189.7397000007, 5728305.181500001 1669679.3292999994, 5737576.204299999 1684469.6138000004, 5739828.4407 1683083.1129, 5749622.4892 1694110.5019000005, 5753917.3508 1689641.195699999)), ((5743613.806299999 1626784.0109, 5740301.5077 1619384.5754000004, 5731225.2544 1622083.4729999993, 5735969.7018 1630713.8410999998, 5743613.806299999 1626784.0109)), ((5714060.9438000005 1617456.7057000007, 5709443.032 1612260.7493999992, 5705793.6658 1615347.0814999994, 5707599.547900001 1627429.7207999993, 5713037.9692 1623899.5066, 5714060.9438000005 1617456.7057000007)), ((5706725.020500001 1683966.0094000008, 5698819.270099999 1677909.4755000006, 5692073.3553 1683560.6170000006, 5687763.698100001 1692275.4583, 5688553.364700001 1697284.2942999993, 5700161.2574000005 1710101.762599999, 5707940.8595 1702162.2809999995, 5706725.020500001 1683966.0094000008)), ((5699053.4026 1654931.9189, 5696156.8266 1646241.7189000007, 5684950.580399999 1654065.2303999998, 5685485.2634 1660903.8225999996, 5699053.4026 1654931.9189)), ((5687640.8116 1735696.106899999, 5684978.1116 1730711.0505999997, 5675701.293299999 1731727.9837999996, 5675211.8641 1737872.0076000001, 5683684.1602 1740028.892000001, 5687640.8116 1735696.106899999)), ((5679984.966700001 1689622.7586000003, 5672858.461999999 1679366.1173, 5661361.471899999 1679910.0099999998, 5669972.1306 1695589.522500001, 5677291.4679000005 1695897.0711000003, 5679984.966700001 1689622.7586000003)), ((5679434.3575 1646685.6349999998, 5675128.9749 1639893.0124999993, 5669038.7941 1642931.7649000008, 5669268.382200001 1648171.7743999995, 5677669.4975000005 1652061.5950000007, 5679434.3575 1646685.6349999998)), ((5674831.983200001 1723810.7851, 5668603.807 1717221.7172999997, 5665828.296499999 1727780.1851000004, 5671262.5768 1733666.301000001, 5674831.983200001 1723810.7851)), ((5667119.962099999 1741196.5438, 5662251.902899999 1739296.9309999999, 5644790.4638 1750331.9382000007, 5647607.549699999 1752961.9319000002, 5665926.9374 1750440.3044000007, 5667119.962099999 1741196.5438)), ((5663469.750499999 1631966.8677999992, 5656752.9758 1628962.3323, 5652702.5461 1635177.8136, 5658155.0384 1643427.5938000008, 5663469.750499999 1631966.8677999992)), ((5645609.063100001 1719856.5461999997, 5640209.874600001 1716791.6202000007, 5637988.250700001 1723236.7501999997, 5637848.077500001 1732352.3002000004, 5643428.091600001 1730565.7006, 5645609.063100001 1719856.5461999997)), ((5641634.0788 1760121.5789, 5638574.2436999995 1755568.3642999995, 5625892.2882 1764634.9310999997, 5615682.0265 1770942.798800001, 5615063.391100001 1779526.1150000002, 5635110.486199999 1774552.7788999993, 5639767.5111 1767381.5909000002, 5641634.0788 1760121.5789)), ((5638997.956599999 1669070.6931999996, 5634309.3269 1663659.6589000002, 5627006.487400001 1670885.6341999993, 5630324.989399999 1677564.6362999994, 5638997.956599999 1669070.6931999996)), ((5632207.0978999995 1649136.7569999993, 5632339.6697 1644935.3901000004, 5618133.655300001 1648179.3402999993, 5621570.41 1655559.5462999996, 5632207.0978999995 1649136.7569999993)), ((5623105.159700001 1638710.3094999995, 5617512.7347 1632883.2854999993, 5604201.7212000005 1630569.1755999997, 5604744.545299999 1639532.1186999995, 5610414.716499999 1643351.4342999998, 5619512.145199999 1644722.4558000006, 5623105.159700001 1638710.3094999995)), ((5615442.8386 1686046.7611999996, 5611260.327299999 1682058.8410999998, 5604954.135500001 1684700.8671000004, 5606939.278100001 1692961.1740000006, 5613010.0482 1692603.5775000006, 5615442.8386 1686046.7611999996)), ((5601244.0152 1705608.6284999996, 5597105.082 1703720.1323000006, 5594342.3829 1713761.5801999997, 5597117.2411 1719070.8301, 5603307.2106 1713985.7431000005, 5601244.0152 1705608.6284999996)), ((5594229.4506 1740409.2080000006, 5586000.441 1723124.3066000007, 5581992.105900001 1729479.1853999998, 5583363.0331 1738773.1327, 5587760.1558 1743036.640900001, 5594229.4506 1740409.2080000006)))",5778883.446685405,1673823.8952371003,POINT (5778883.446685405 1673823.8952371003),0.09198021227576915,Significant,0.019,3
93,EL51,"Aνατολική Μακεδονία, Θράκη","Anatoliki Makedonia, Thraki",14373.91304347826,"MULTIPOLYGON (((5670221.351600001 2102712.0823, 5661479.1754 2112318.260500001, 5634310.3353 2110075.8584000003, 5594176.8672 2111126.869000001, 5590944.570699999 2115570.1479, 5566630.600199999 2095682.0326000005, 5552392.0594 2093741.8244000003, 5538392.3912 2100042.5065, 5511409.7096 2071050.7793000005, 5489625.8429000005 2071907.8979000002, 5504578.1844999995 2089841.9565999992, 5506158.894400001 2100666.9399999995, 5476779.684900001 2111747.6043999996, 5458423.3883 2133421.0621000007, 5490198.759099999 2148430.8965000007, 5491533.976 2156084.1009, 5528572.7973 2166317.6303000003, 5554204.395199999 2149956.8691000007, 5563477.7632 2154274.9310999997, 5587712.9121 2151062.0305000003, 5592371.229800001 2146859.8309000004, 5647445.114700001 2163286.583799999, 5650629.5156 2165419.6841, 5663061.1044 2172220.4014, 5666078.4287 2180576.2157000005, 5664253.204399999 2193183.562999999, 5659128.690300001 2201443.4639, 5656229.0836 2206123.6371, 5653794.785800001 2210056.3916999996, 5675518.538699999 2215228.6450999994, 5683463.0222 2212121.5467000008, 5692144.4482 2208740.7982, 5695859.2959 2207298.7884, 5704439.7765 2183251.7485000007, 5684585.5847 2163534.5296, 5691100.590399999 2133691.639799999, 5670221.351600001 2102712.0823)), ((5649451.7019 2063207.4217000008, 5637942.463099999 2057615.4244, 5626641.1384 2064422.8847000003, 5635960.457 2070860.6301000006, 5644428.021 2070612.5264999997, 5649451.7019 2063207.4217000008)), ((5567394.036499999 2069511.2117999997, 5556256.691500001 2059965.8927999996, 5555499.7311 2063799.3988000005, 5548119.415200001 2066099.3933000006, 5546100.3835 2071694.8773999996, 5548503.776900001 2081022.0920000002, 5554847.469799999 2086106.1411000006, 5565669.8226 2079096.8798999991, 5567394.036499999 2069511.2117999997)))",5587158.236123797,2134082.967086864,POINT (5587158.236123797 2134082.967086864),0.8481598343277665,Significant,0.001,3
94,EL52,Κεντρική Μακεδονία,Kentriki Makedonia,15943.478260869566,"MULTIPOLYGON (((5458423.3883 2133421.0621000007, 5476779.684900001 2111747.6043999996, 5506158.894400001 2100666.9399999995, 5504578.1844999995 2089841.9565999992, 5489625.8429000005 2071907.8979000002, 5481466.686799999 2068049.8540000003, 5478899.4103 2059241.836100001, 5483052.7173999995 2054451.792199999, 5485843.2234000005 2051100.8587999996, 5493445.8138999995 2045093.6170000006, 5495084.0152 2036276.2013000008, 5508826.919 2031631.7492999993, 5509725.858899999 2023365.8252000008, 5496572.1624 2028261.3764999993, 5486042.981000001 2015577.3904999997, 5512044.3182 1999545.8630999997, 5515134.504899999 1990762.6532000005, 5511403.106899999 1983611.9005999994, 5501495.1424 1986584.5300999992, 5481452.7501 2007220.9035, 5462141.182399999 2009008.4173000008, 5450604.7884 2003501.176000001, 5425133.287799999 2012115.6253999993, 5413002.5876 2022903.1281000003, 5413172.486099999 2040003.8819999993, 5395086.4066 2027025.0923999995, 5394171.957800001 2022669.8443, 5390169.0273 2017714.1473999992, 5394824.100500001 2007286.7333000004, 5391182.532 1982806.7818999998, 5402932.342499999 1966143.8368999995, 5393214.9299 1962847.7438999992, 5378635.6284 1969985.0450999998, 5371961.7598 1981638.6861000005, 5363867.495999999 1976427.3312, 5353034.8215 1982071.5976, 5356964.3104 1995266.2728000004, 5333908.5447 2012491.9059999995, 5327182.636499999 2023887.7117999997, 5327527.0984000005 2033116.6799999997, 5320241.5185 2033599.8903, 5311878.9879 2045163.17, 5313654.692500001 2058838.0856999997, 5322792.8606 2079259.303200001, 5345487.9179 2090787.7475000005, 5355938.123199999 2086869.9175000004, 5360593.454 2089236.6214000005, 5387760.6504 2096795.603599999, 5389623.635399999 2113613.7530000005, 5397537.215500001 2118650.8937999997, 5401576.043400001 2119111.646400001, 5458423.3883 2133421.0621000007)), ((5488599.6247000005 1980876.4151000008, 5489236.934699999 1974750.8581000008, 5482548.663899999 1974046.7426999994, 5470501.7228 1977310.1076999996, 5461842.578299999 1974482.107999999, 5462953.316199999 1979571.2019999996, 5454856.5175 1989356.3220000006, 5455368.194399999 1996863.3595000003, 5461864.659600001 1994756.5692999996, 5471804.121099999 1984920.1578000002, 5488599.6247000005 1980876.4151000008)))",5414551.8219333105,2053671.4955781552,POINT (5414551.8219333105 2053671.4955781552),0.6577777905340891,Significant,0.001,3
95,EL53,Δυτική Μακεδονία,Dytiki Makedonia,18842.85714285714,"POLYGON ((5341675.3453 1942364.2216999996, 5307086.0888 1941580.1844999995, 5288772.505100001 1934806.9844000004, 5271161.2456 1936404.1862000003, 5266608.3825 1951821.3947, 5258354.5320999995 1958341.4689000007, 5259658.327099999 1963656.8077000007, 5246905.6152 1980809.1717000008, 5237775.048 1982254.042199999, 5257241.4647 2015037.9755000006, 5247352.797800001 2040320.5046999995, 5313654.692500001 2058838.0856999997, 5311878.9879 2045163.17, 5320241.5185 2033599.8903, 5327527.0984000005 2033116.6799999997, 5327182.636499999 2023887.7117999997, 5333908.5447 2012491.9059999995, 5356964.3104 1995266.2728000004, 5353034.8215 1982071.5976, 5339648.6776 1955516.3390999995, 5341675.3453 1942364.2216999996))",5296815.404320129,1992921.4950025799,POINT (5296815.404320129 1992921.4950025799),0.41960524697183454,Significant,0.001,3
96,EL54,Ήπειρος,Ipeiros,14439.130434782608,"POLYGON ((5288772.505100001 1934806.9844000004, 5278982.2369 1912360.8222000003, 5284352.3945 1894309.554300001, 5304498.3729 1877690.1031999998, 5305579.7237 1860999.8816, 5286820.9506 1851380.5679000001, 5284757.238500001 1843547.8577999994, 5261282.9834 1840685.2804000005, 5252710.304199999 1833442.0430999994, 5227286.7963 1860859.8632999994, 5226144.943700001 1860507.5483999997, 5211517.0921 1863252.2559999991, 5195599.855599999 1894995.3929999992, 5181493.3478999995 1901093.3912000004, 5200528.617900001 1900589.7510000002, 5205929.4684 1908629.0675000008, 5204901.861400001 1917791.1150000002, 5212814.773399999 1916169.5964000002, 5207131.423900001 1936879.7466000002, 5213976.5337000005 1946542.9615000002, 5227594.233899999 1950737.2138999999, 5237775.048 1982254.042199999, 5246905.6152 1980809.1717000008, 5259658.327099999 1963656.8077000007, 5258354.5320999995 1958341.4689000007, 5266608.3825 1951821.3947, 5271161.2456 1936404.1862000003, 5288772.505100001 1934806.9844000004))",5248788.315435503,1900463.2779289377,POINT (5248788.315435503 1900463.2779289377),0.7504478048591516,Significant,0.001,3
97,EL61,Θεσσαλία,Thessalia,15304.347826086956,"MULTIPOLYGON (((5538268.9486 1921443.8649000004, 5537602.0978999995 1913354.5217000004, 5528076.4070999995 1913186.0272000004, 5533436.081800001 1925138.3527000006, 5538268.9486 1921443.8649000004)), ((5534963.9125 1891329.1838000007, 5531628.308700001 1886909.3220000006, 5524484.1274 1892091.1517999992, 5525398.654200001 1899111.3198000006, 5520694.0856 1900852.262599999, 5524374.3452 1909650.3012000006, 5528876.5934 1900174.9834000003, 5533803.4782 1899243.7155000009, 5534963.9125 1891329.1838000007)), ((5512580.366699999 1890577.2897999994, 5509332.3708999995 1883667.9170999993, 5502896.285499999 1883941.0978999995, 5498873.8257 1890765.1415999997, 5500461.297599999 1893192.3595000003, 5512580.366699999 1890577.2897999994)), ((5489700.5889 1894030.3379999995, 5488191.6075 1882764.4900000002, 5481171.571 1886127.5441999994, 5480833.811799999 1894101.9179999996, 5489700.5889 1894030.3379999995)), ((5353034.8215 1982071.5976, 5363867.495999999 1976427.3312, 5371961.7598 1981638.6861000005, 5378635.6284 1969985.0450999998, 5393214.9299 1962847.7438999992, 5402932.342499999 1966143.8368999995, 5421360.9964000005 1948653.2009999994, 5430523.069700001 1929120.9557000007, 5450488.824999999 1916587.8429000005, 5472783.8904 1890820.5735, 5464234.0285 1882782.1723999996, 5451772.1425 1898067.3069000002, 5434030.0847 1895779.3287000004, 5430940.5463 1885099.5552999992, 5449374.067 1865079.6042999998, 5407357.687899999 1863267.1349999998, 5403353.903999999 1871554.5406, 5379931.582599999 1883572.6231999993, 5375152.3254 1873366.7303, 5364147.138499999 1856254.8466999996, 5355819.3478999995 1856516.614600001, 5333313.1842 1866736.2528000008, 5331895.6809 1872380.7719, 5326351.302300001 1872753.5095000006, 5315258.7707 1868424.1751000006, 5311517.4684 1863391.9352000002, 5307743.319700001 1860223.0653000008, 5305579.7237 1860999.8816, 5304498.3729 1877690.1031999998, 5284352.3945 1894309.554300001, 5278982.2369 1912360.8222000003, 5288772.505100001 1934806.9844000004, 5307086.0888 1941580.1844999995, 5341675.3453 1942364.2216999996, 5339648.6776 1955516.3390999995, 5353034.8215 1982071.5976)), ((5454726.171700001 1885580.4593000002, 5458823.8730999995 1874678.0360000003, 5449540.4211 1874431.1335000005, 5450131.2184 1885868.929300001, 5454726.171700001 1885580.4593000002)))",5372947.335327468,1911905.9341524795,POINT (5372947.335327468 1911905.9341524795),0.5853578260566615,Significant,0.004,3
98,EL62,Ιόνια Νησιά,Ionia Nisia,18921.739130434784,"MULTIPOLYGON (((5285062.290999999 1698146.4181999993, 5279892.4307 1688566.7939, 5260618.8837 1703173.4272000007, 5260428.0726 1709877.9429000001, 5264760.021 1715076.5853000004, 5270898.199200001 1709176.5239000004, 5281445.8751 1706122.7826000005, 5285062.290999999 1698146.4181999993)), ((5277678.1887 1792130.478599999, 5273609.015699999 1783153.7073999997, 5269248.320800001 1791114.8115999997, 5271519.0271000005 1797606.5724, 5277120.0515 1797837.5826999992, 5277678.1887 1792130.478599999)), ((5253343.1841 1758629.0440999996, 5254108.785700001 1751340.7674000002, 5257869.0592 1754248.3940999992, 5272392.276799999 1737422.6460999995, 5271284.7138 1732206.4898000006, 5263385.3127 1731640.5809000004, 5254322.7173999995 1735646.8633999992, 5251034.297 1732285.1980000008, 5239249.9341 1738564.0687000006, 5230063.097200001 1740212.5339000002, 5233588.433700001 1756277.2313, 5241515.201400001 1755426.9748999998, 5244983.385600001 1759149.2698, 5243576.3105999995 1773129.1440999992, 5247463.6295 1773131.3176000006, 5253343.1841 1758629.0440999996)), ((5266565.5518 1758835.4266, 5259506.3366 1757409.5333999991, 5250998.6371 1773635.8809999991, 5258740.6302000005 1772717.8545999993, 5257873.5765 1768666.8473000005, 5266565.5518 1758835.4266)), ((5259929.682 1793804.9453999996, 5248508.0370000005 1788639.6286999993, 5243316.170399999 1790794.2404999994, 5242289.9365 1796624.4591000006, 5244634.8104 1808132.6394999996, 5248112.297800001 1814471.3840999994, 5253927.889900001 1816756.4423999991, 5259929.682 1793804.9453999996)), ((5183884.030099999 1874635.6116000004, 5182788.724099999 1870973.6388000008, 5174724.001599999 1873342.0461999997, 5149051.9791 1904035.8807999995, 5154139.7665 1909365.4162000008, 5172934.1019 1910626.2573000006, 5169418.639699999 1899439.4645000007, 5178082.2925 1879365.8040999994, 5183884.030099999 1874635.6116000004)))",5234427.629789178,1786372.6236779056,POINT (5234427.629789178 1786372.6236779056),0.3387670435595352,Significant,0.001,3
99,EL63,Δυτική Ελλάδα,Dytiki Elláda,15030.434782608696,"MULTIPOLYGON (((5407983.1646 1761674.1608000007, 5407960.682700001 1749443.5675000008, 5399794.8171 1736326.0774000008, 5403331.1798 1727026.0178999994, 5384216.9408 1718682.5079999994, 5370170.2948 1724724.1204000004, 5363972.0075 1718463.9245999996, 5366547.682399999 1696115.0927000009, 5382689.4003 1683985.3808999993, 5377572.1022 1680143.6148000006, 5375920.7019 1673554.9341000002, 5359181.243899999 1668489.8117999993, 5347401.7017 1683714.2629000004, 5310814.5011 1710394.6723999996, 5303059.426200001 1719399.0753000006, 5319574.675100001 1743336.3945000004, 5321466.3178 1754533.7315999996, 5342063.6875 1752957.4856000002, 5360951.1182 1775223.6983000003, 5407983.1646 1761674.1608000007)), ((5360855.4384 1825871.5701000001, 5365703.6743 1824919.1294999998, 5369426.826199999 1801775.8443, 5364703.4329 1793705.5777000003, 5359044.2345 1779807.2290000003, 5300401.603399999 1766328.6348, 5287091.218900001 1788969.4521999992, 5256906.793400001 1819168.8982999995, 5265967.5954 1828248.8761, 5284420.1502 1825483.1980000008, 5287917.2699 1834462.6262999997, 5284757.238500001 1843547.8577999994, 5286820.9506 1851380.5679000001, 5305579.7237 1860999.8816, 5307743.319700001 1860223.0653000008, 5310110.291999999 1844467.5015999991, 5327692.8101 1828647.7882000003, 5331116.935900001 1816006.4111000001, 5349338.6239 1815059.3845000006, 5360855.4384 1825871.5701000001)))",5336667.996859806,1766178.9541203417,POINT (5336667.996859806 1766178.9541203417),0.5550798141644674,Significant,0.01,3
100,EL64,Στερεά Ελλάδα,Sterea Elláda,18672.727272727272,"MULTIPOLYGON (((5596677.6391 1868241.1034999993, 5591968.0013999995 1862009.6512000002, 5583016.012599999 1866039.3977000006, 5584466.940199999 1870107.2235000003, 5572491.312000001 1873632.4931000005, 5575579.0856 1885796.3276000004, 5584303.985300001 1881640.2083, 5585077.1065 1875243.2936000004, 5596677.6391 1868241.1034999993)), ((5403353.903999999 1871554.5406, 5407357.687899999 1863267.1349999998, 5449374.067 1865079.6042999998, 5444767.3791000005 1856467.1674000006, 5430447.155099999 1847723.3191999998, 5416784.507099999 1847786.6841000002, 5414824.5318 1842659.5719000008, 5454593.058 1836831.9235999994, 5465360.445900001 1829019.0539999995, 5479092.3872 1829890.9410999995, 5484701.8199000005 1815447.9903999995, 5498951.8935 1823917.4923, 5460182.102700001 1852399.3291999996, 5465201.410599999 1866175.7665999997, 5476021.964 1867806.3620999996, 5502606.6172 1851047.3171999995, 5547199.1346 1841668.5711000003, 5570057.0655000005 1804784.7380999997, 5591578.520099999 1793647.1604999993, 5595788.304400001 1784993.9338000007, 5590318.4476 1777955.5193000007, 5576030.5055 1778604.1284999996, 5543296.1185 1810624.9959999993, 5515659.935900001 1803758.7913000006, 5518880.299900001 1803023.7859000005, 5516325.159399999 1788084.9381000008, 5507973.929400001 1778859.5315000005, 5491266.6457 1788815.2690999992, 5472996.0616999995 1775580.6459999997, 5445158.3682 1778234.886499999, 5424908.373299999 1788694.0699000005, 5422279.714400001 1782438.6325000003, 5409137.8703000005 1793792.5018000007, 5403484.136399999 1784790.1137000006, 5388586.6216 1780283.2864999995, 5370613.7952 1784358.2250999995, 5359044.2345 1779807.2290000003, 5364703.4329 1793705.5777000003, 5369426.826199999 1801775.8443, 5365703.6743 1824919.1294999998, 5360855.4384 1825871.5701000001, 5349338.6239 1815059.3845000006, 5331116.935900001 1816006.4111000001, 5327692.8101 1828647.7882000003, 5310110.291999999 1844467.5015999991, 5307743.319700001 1860223.0653000008, 5311517.4684 1863391.9352000002, 5315258.7707 1868424.1751000006, 5326351.302300001 1872753.5095000006, 5331895.6809 1872380.7719, 5333313.1842 1866736.2528000008, 5355819.3478999995 1856516.614600001, 5364147.138499999 1856254.8466999996, 5375152.3254 1873366.7303, 5379931.582599999 1883572.6231999993, 5403353.903999999 1871554.5406)), ((5451961.6435 1850358.643100001, 5447643.5043 1843719.0585999992, 5438335.4375 1846976.2280000001, 5443031.190199999 1853986.3136999998, 5451961.6435 1850358.643100001)))",5440414.829059195,1824791.2059350326,POINT (5440414.829059195 1824791.2059350326),0.2878911237131089,Significant,0.014,3
101,EL65,Πελοπόννησος,Peloponnisos,16386.363636363636,"POLYGON ((5474074.188100001 1763692.4251000006, 5481334.7018 1752736.3058000002, 5472959.6412 1744283.1056999993, 5479879.152799999 1736902.5713999998, 5479887.361500001 1727657.3498999998, 5489168.365900001 1714338.8718999997, 5490059.9717999995 1707359.4217000008, 5510867.3905 1702864.2740000002, 5511953.2491999995 1697630.8752999995, 5487127.9268 1684002.0764000006, 5481318.5789 1695971.3177000005, 5450095.3124 1704494.8903, 5450051.340600001 1695392.082800001, 5470695.021500001 1657762.0461999997, 5479065.861500001 1651168.1980000008, 5494584.761399999 1598714.2356000002, 5457572.0844 1615596.0305000003, 5447958.3552 1606720.6181000005, 5439602.362 1584024.455600001, 5421685.8442 1612570.4048999995, 5403769.714400001 1629385.3238999993, 5391636.852 1625051.8797999993, 5383784.305400001 1607797.1688, 5369384.783600001 1613337.0545000006, 5356659.4903 1637600.708900001, 5359181.243899999 1668489.8117999993, 5375920.7019 1673554.9341000002, 5377572.1022 1680143.6148000006, 5382689.4003 1683985.3808999993, 5366547.682399999 1696115.0927000009, 5363972.0075 1718463.9245999996, 5370170.2948 1724724.1204000004, 5384216.9408 1718682.5079999994, 5403331.1798 1727026.0178999994, 5399794.8171 1736326.0774000008, 5407960.682700001 1749443.5675000008, 5407983.1646 1761674.1608000007, 5413878.2666 1761690.58, 5454113.2947 1747810.267000001, 5460846.7092 1751756.3127999995, 5457688.942600001 1760954.4025999997, 5474074.188100001 1763692.4251000006))",5427698.520558139,1677566.8374867223,POINT (5427698.520558139 1677566.8374867223),0.37691361209386914,Significant,0.046,3
151,FRY4,La Réunion,La Réunion,17095.652173913044,"POLYGON ((9954236.1162 -3059379.3164, 9961022.5883 -3052221.3084000004, 9962207.5849 -3043952.4389000004, 9966368.8737 -3042731.9552999996, 9981217.182999998 -3029077.4118999997, 10004105.814 -3022000.3822999997, 10011115.9914 -3029614.9675000003, 10026276.277600002 -3037765.7117999997, 10022438.8638 -3047511.6344999997, 10023263.545400001 -3054383.3331000004, 10019371.9826 -3059478.1809, 10004542.501200002 -3069371.0193999996, 9982971.773200002 -3075439.1478000004, 9968774.596500002 -3076354.2174000004, 9963428.860800002 -3074007.5577, 9962512.987 -3067589.0903000003, 9954236.1162 -3059379.3164))",9991033.442064798,-3050742.0638955412,POINT (9991033.442064798 -3050742.0638955412),0.6681579532711739,Significant,0.001,3
153,HR02,Panonska Hrvatska,Panonska Hrvatska,10563.636363636364,"POLYGON ((4885838.4597 2569452.5403000005, 4906605.3597 2565130.4036999997, 4914925.3323 2556676.2138, 4935711.286699999 2552486.5812999997, 4976870.196 2552895.478599999, 4992314.4575 2570854.5414000005, 5004436.5659 2574073.972100001, 5009623.0449 2575455.7397000007, 5017802.5362 2546871.2656999994, 5016505.000399999 2538121.2359999996, 5028318.304300001 2532985.3608999997, 5026320.3224 2528866.5682999995, 5024761.136399999 2522836.0852000006, 5024775.084899999 2517441.6346000005, 5036431.8465 2508356.4459000006, 5057460.896400001 2503939.1153999995, 5060947.4131000005 2497458.0582999997, 5036858.210899999 2490665.5537, 5040654.977600001 2470932.8562000003, 5031418.726399999 2462300.3444999997, 5033462.4998 2459084.4516000003, 5020769.6513 2457536.651900001, 5015404.0736 2460380.1396999992, 5010245.313999999 2474584.3247999996, 4991980.3915 2480137.603599999, 4970056.2302 2481405.5879999995, 4962362.7313 2476332.1107, 4951386.592499999 2480657.1336000003, 4937694.7245000005 2471023.4201999996, 4925277.3401999995 2476435.846999999, 4882408.3431 2477037.91, 4866164.7828 2484709.8380999994, 4855318.1229 2478149.647, 4835999.828600001 2479126.8115999997, 4817708.808599999 2453313.6142999995, 4793803.829299999 2472740.7041999996, 4779874.8684 2474907.3243000004, 4774121.292099999 2442304.3264000006, 4752575.9410999995 2441087.0024999995, 4732949.9003 2456329.1943999995, 4716018.781400001 2458963.2738000005, 4713227.693399999 2476872.9613000005, 4725388.032500001 2479949.1992000006, 4730255.16 2493771.1679, 4740201.177300001 2500953.257200001, 4734364.3432 2512250.9121000003, 4732541.6392 2527198.8099000007, 4735901.171599999 2531543.4870999996, 4754163.576300001 2515421.3259999994, 4764225.1195 2515859.260500001, 4772472.1774 2508954.5897000004, 4781184.301000001 2508832.0898, 4784173.292300001 2503545.5968999993, 4795484.981000001 2505188.4305000007, 4800327.1307 2520791.7928, 4827554.2959 2519056.8639, 4836010.9388999995 2529286.6696000006, 4827822.674000001 2539002.1105000004, 4840234.3347 2549903.4486999996, 4840761.7236 2557897.6274999995, 4842215.7094 2570032.3543999996, 4850374.9706999995 2575125.4783999994, 4863018.006200001 2564982.1131999996, 4873616.0546 2556525.199100001, 4885838.4597 2569452.5403000005))",4891554.961005087,2508409.875881823,POINT (4891554.961005087 2508409.875881823),0.9460085517428659,Significant,0.023,3
