,0
0,0.25493356174667814
1,0.16877122178926954
2,0.1961970737840543
3,0.17376873799967793
4,0.1818464466144409
5,0.1709748689067167
6,0.20614306639813945
7,0.1664824284987728
8,0.1820954440987199
9,0.16866143891321198
10,0.1735661337288398
11,0.20131910222354096
12,0.17761748388855958
13,0.20846380866965974
14,0.19231385530112524
15,0.15765444876901108
16,0.19546963598402295
17,0.15504118998534772
18,0.1786286025142702
19,0.1971289664064168
20,0.21017705081349972
21,0.1949333424649557
22,0.16956252395140436
23,0.18393960745488874
24,0.17880458811042274
25,0.1676301824799506
26,0.185501731485105
27,0.17196043936822086
28,0.16278438537211562
29,0.19462409921997784
30,0.21050574945751416
31,0.22295756472334766
32,0.19279602276155855
33,0.17825539823990633
34,0.17784700551736515
35,0.17585866759210386
36,0.14594134044638352
37,0.23010238001496952
38,0.19508913294357477
39,0.20419897548149016
40,0.20942567374546553
41,0.14960011250068816
42,0.19156052808977492
43,0.16325547804158835
44,0.16245810340141717
45,0.1953603978090564
46,0.1618586133269549
47,0.18741524280048896
48,0.19894621665886383
49,0.15372688466050843
50,0.20413674474046942
51,0.19297703651639955
52,0.2436644029700769
53,0.17452616753682215
54,0.17347609312857293
55,0.18276696817577626
56,0.181279579967919
57,0.1811566520929364
58,0.20667874514673795
59,0.21004543952337065
60,0.2056714449477686
61,0.18999263763076968
62,0.18956336010410543
63,0.16096590728190632
64,0.1813063854393816
65,0.1980737984422987
66,0.17816085042414598
67,0.20711936067699024
68,0.21394023047148839
69,0.18834428245472223
70,0.20714859676562608
71,0.19355063587937216
72,0.16205938593415328
73,0.18247229474821958
74,0.15130546786571625
75,0.22507666480840682
76,0.24871724927486397
77,0.24002455384175772
78,0.20012688872337753
79,0.20370767923366329
80,0.1829587562848752
81,0.19511979620220657
82,0.17223904722829145
83,0.20945669025477273
84,0.19179238458726963
85,0.19575934032962747
86,0.1533322609057949
87,0.23403876872295382
88,0.18777547199425948
89,0.17904433399555164
90,0.2167738114186036
91,0.1670931204939927
92,0.2203671462146854
93,0.16992538975960927
94,0.1612720647025058
95,0.1806713805137049
96,0.20071600432894807
97,0.1692008544850385
98,0.1783857437137138
99,0.17627487133759892
100,0.17874204466048754
101,0.15577812901028143
102,0.20585826726575807
103,0.19002264233938293
104,0.1750240155722206
105,0.24340558559417938
106,0.17617519162150339
107,0.17962990178707375
108,0.15202688010527796
109,0.19812606155187243
110,0.17786357389668236
111,0.2158978458171676
112,0.181649178869435
113,0.16574365471994545
114,0.19896224459470807
115,0.20380801061244003
116,0.20145511312916511
117,0.1727574599729466
118,0.1909754043146147
119,0.18080679318353532
120,0.19309006244067986
121,0.21193669972636295
122,0.18227561450266766
123,0.19306176904968494
124,0.1710217100316634
125,0.17463684135350804
126,0.17227604123853174
127,0.19007735898770944
128,0.1907143476094675
129,0.19303790049271713
130,0.21540693129704863
131,0.1539794977220425
132,0.16321940520467434
133,0.15154299337475743
134,0.2314582919186713
135,0.17518303512898847
136,0.19052430927071348
137,0.17236581870460635
138,0.20203505933247476
139,0.2011431658137208
140,0.2433316592982291
